"Isolate"	"ST"	"New ST"	"Contamination"	"clpA"	"clpX"	"nifS"	"pepX"	"pyrG"	"recG"	"rplB"	"uvrA"
"5A18NP1-JBb08-A"	"1"	""	"uvrA_1,uvrA_1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"5A18NP1-JBb08-B"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UNY147_200"	"14~"	"Unknown"	""	"U"	"1"	"U"	"7"	"1"	"6"	"1"	"10"
"5A18NP1-JBb08-C"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"5A18NP1-JBb08-E"	"1"	""	"uvrA_1,uvrA_1,uvrA_1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"K2"	"1"	""	"uvrA_1,uvrA_1,uvrA_1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"5A18NP1-JBb08-D"	"1"	""	"uvrA_1,uvrA_1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"5A4"	"1"	""	"uvrA_1,uvrA_1~"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UNY201_200"	"14~"	"Unknown"	""	"U"	"1"	"1~"	"7"	"1"	"6"	"1"	"10"
"UNY210_200"	"18~"	"Unknown"	""	"7"	"6"	"U"	"1"	"1"	"5"	"5"	"5"
"UNY218_200"	"18~"	"Unknown"	""	"7"	"6"	"U"	"1"	"1"	"5"	"5"	"5"
"UWI272_200"	"55~"	"Unknown"	""	"U"	"1"	"U"	"20"	"2"	"1"	"U"	"10"
"UNY196_200"	"15"	""	""	"2"	"2"	"4"	"2"	"2"	"2"	"2"	"2"
"BG001_C7"	"1~"	"Unknown"	""	"1"	"1"	"1"	"1"	"1"	"1"	"1~"	"1~"
"ESI322_200"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"UWI257_200"	"232~"	"Unknown"	""	"25"	"3"	"U"	"3"	"3"	"21"	"6"	"2"
"UWI273_200"	"55"	""	""	"23"	"1"	"17"	"20"	"2"	"1"	"1"	"10"
"UNY214_200"	"40~"	"Unknown"	""	"22~"	"1"	"5"	"8"	"1"	"18"	"11"	"10"
"ESI295_200"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"ESI300_200"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"UWI276_200"	"410~"	"Unknown"	""	"4"	"U"	"3"	"3"	"3"	"21"	"6"	"104"
"ESI323_200"	"799"	""	""	"15"	"9"	"12"	"223"	"1"	"11"	"8"	"16"
"UWI252_200"	"29"	""	""	"18"	"12"	"1"	"11"	"2"	"15"	"1"	"2"
"ESI299_200"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"EU57_B190413.hybrid.assembly.contigs"	"20~"	"Unknown"	""	"14"	"1"	"11"	"1"	"1"	"1~"	"1"	"10"
"ESI311_200"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"UWI267_200"	"222"	""	""	"5"	"5"	"4"	"5"	"1"	"15"	"1"	"6"
"UWI237_200"	"229"	""	""	"20"	"4"	"3"	"3"	"3"	"18"	"3"	"3"
"UNY171_200"	"8"	""	""	"5"	"5"	"4"	"5"	"5"	"5"	"1"	"6"
"UNY216_200"	"12~"	"Unknown"	""	"3"	"3"	"U"	"4"	"3"	"4"	"4"	"4"
"ESI304_200"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"ESI319_200"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"L113.hybrid.assembly.contigs"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"ESI28_200"	"284"	""	""	"14"	"1"	"11"	"1"	"1"	"11"	"1"	"10"
"UWI263_200"	"29"	""	""	"18"	"12"	"1"	"11"	"2"	"15"	"1"	"2"
"ESI284_200"	"20"	""	""	"14"	"1"	"11"	"1"	"1"	"1"	"1"	"10"
"ESI309_200"	"20"	""	""	"14"	"1"	"11"	"1"	"1"	"1"	"1"	"10"
"UWI258_200"	"232"	""	""	"25"	"3"	"3"	"3"	"3"	"21"	"6"	"2"
"ESI288a_200"	"20"	""	""	"14"	"1"	"11"	"1"	"1"	"1"	"1"	"10"
"ESI312_200"	"24~"	"Novel ST"	""	"15"	"1"	"12"	"8"	"1"	"11"	"8"	"16"
"UWI230_200"	"222"	""	""	"5"	"5"	"4"	"5"	"1"	"15"	"1"	"6"
"UNY203_200"	"14"	""	""	"9"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"UWI281_200"	"223"	""	""	"7"	"6"	"12"	"1"	"2"	"5"	"5"	"83"
"ESI292_200"	"545"	""	""	"14"	"1"	"11"	"1"	"164"	"1"	"1"	"10"
"UNY207_200"	"11"	""	""	"5"	"7"	"5"	"1"	"6"	"1"	"4"	"9"
"UWI282_200"	"55"	""	""	"23"	"1"	"17"	"20"	"2"	"1"	"1"	"10"
"N40_HP"	"12"	""	""	"3"	"3"	"2"	"4"	"3"	"4"	"4"	"4"
"UWI268_200"	"228"	""	""	"12"	"2"	"1"	"2"	"1"	"16"	"2"	"2"
"UWI235_200"	"47"	""	""	"7"	"6"	"12"	"1"	"6"	"5"	"5"	"5"
"ESI316_200"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"BB-8"	"34"	""	""	"8"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"UNY213_200"	"8"	""	""	"5"	"5"	"4"	"5"	"5"	"5"	"1"	"6"
"UNY138_200"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"UWI279_200"	"302"	""	""	"5"	"5"	"4"	"114"	"1"	"15"	"1"	"6"
"UWI277_200"	"410"	""	""	"4"	"4"	"3"	"3"	"3"	"21"	"6"	"104"
"UNY199_200"	"19"	""	""	"4"	"4"	"3"	"3"	"3"	"3"	"3"	"3"
"UNY141_200"	"8"	""	""	"5"	"5"	"4"	"5"	"5"	"5"	"1"	"6"
"UWI255_200"	"227"	""	""	"12"	"2"	"1"	"2"	"1"	"16"	"76"	"2"
"UWI240_200"	"12"	""	""	"3"	"3"	"2"	"4"	"3"	"4"	"4"	"4"
"UWI221_200"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"UNY137_200"	"54"	""	""	"15"	"1"	"16"	"4"	"1"	"18"	"4"	"20"
"UNY178_200"	"14"	""	""	"9"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"UWI278_200"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"ESI26_200"	"20~"	"Unknown"	""	"14"	"1"	"11"	"1"	"1"	"1~"	"1"	"10"
"UNY167_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"UNY217_200"	"37"	""	""	"7"	"6"	"12"	"1"	"1"	"5"	"5"	"5"
"UWI265_200"	"234"	""	""	"104"	"1"	"1"	"2"	"2"	"15"	"4"	"10"
"ESI313_200"	"314"	""	""	"14"	"1"	"11"	"1"	"113"	"1"	"1"	"10"
"UNY144_200"	"18"	""	""	"7"	"6"	"6"	"1"	"1"	"5"	"5"	"5"
"ESI291_200"	"545~"	"Novel ST"	""	"14"	"1"	"11"	"8"	"164"	"1"	"1"	"10"
"UWI247_200"	"4"	""	""	"8"	"1"	"1"	"1"	"4"	"6"	"1"	"7"
"URI34_200"	"38"	""	"uvrA_7,uvrA_7"	"21"	"1"	"15"	"8"	"1"	"18"	"4"	"7"
"UNY166_200"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"UWI231_200"	"52"	""	""	"12"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"UNY187_200"	"7"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"8"
"UWI260_200"	"225"	""	""	"8"	"2"	"5"	"93"	"2"	"8"	"1"	"84"
"XD1.hybrid.assembly.contigs"	"12"	""	""	"3"	"3"	"2"	"4"	"3"	"4"	"4"	"4"
"UWI232_200"	"234"	""	""	"104"	"1"	"1"	"2"	"2"	"15"	"4"	"10"
"URI118_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UWI264_200"	"29"	""	""	"18"	"12"	"1"	"11"	"2"	"15"	"1"	"2"
"UWI245_200"	"19"	""	""	"4"	"4"	"3"	"3"	"3"	"3"	"3"	"3"
"UWI269_200"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"MR616"	"14"	""	""	"9"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"UWI253_200"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"UNY172_200"	"12"	""	""	"3"	"3"	"2"	"4"	"3"	"4"	"4"	"4"
"UWI254_200"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"UNY168_200"	"4"	""	""	"8"	"1"	"1"	"1"	"4"	"6"	"1"	"7"
"UWI283_200"	"221"	""	""	"3"	"3"	"2"	"2"	"3"	"4"	"4"	"4"
"UWI256_200"	"29"	""	""	"18"	"12"	"1"	"11"	"2"	"15"	"1"	"2"
"ESI320_200"	"546~"	"Unknown"	""	"14"	"1"	"11"	"1"	"1"	"1~"	"1"	"157"
"UWI250_200"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"UNY193_200"	"318~"	"Unknown"	""	"21~"	"1"	"15"	"8"	"1"	"1"	"4"	"128~"
"UWI223_200"	"234"	""	""	"104"	"1"	"1"	"2"	"2"	"15"	"4"	"10"
"UWI233_200"	"48"	""	""	"8"	"1"	"1"	"14"	"2"	"6"	"1"	"10"
"UNY200_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI122_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY160_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UWI228_200"	"234"	""	""	"104"	"1"	"1"	"2"	"2"	"15"	"4"	"10"
"UWI246_200"	"302"	""	""	"5"	"5"	"4"	"114"	"1"	"15"	"1"	"6"
"UCT96_200"	"59"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"19"
"UNY206_200"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"UWI222_200"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"UNY191_200"	"4"	""	""	"8"	"1"	"1"	"1"	"4"	"6"	"1"	"7"
"UNY215_200"	"14"	""	""	"9"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"UWI243_200"	"234"	""	""	"104"	"1"	"1"	"2"	"2"	"15"	"4"	"10"
"UNY140_200"	"19"	""	""	"4"	"4"	"3"	"3"	"3"	"3"	"3"	"3"
"UWI248_200"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"UWI220_200"	"56"	""	""	"24"	"14"	"4"	"18"	"11"	"19"	"1"	"12"
"ESI314_200"	"20"	""	""	"14"	"1"	"11"	"1"	"1"	"1"	"1"	"10"
"UWI227_200"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"UWI274_200"	"226"	""	""	"8"	"1"	"15"	"94"	"2"	"20"	"1"	"7"
"UNY205_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"UNY169_200"	"19"	""	""	"4"	"4"	"3"	"3"	"3"	"3"	"3"	"3"
"UWI236_200"	"48"	""	""	"8"	"1"	"1"	"14"	"2"	"6"	"1"	"10"
"UWI239_200"	"221"	""	""	"3"	"3"	"2"	"2"	"3"	"4"	"4"	"4"
"UWI226_200"	"221"	""	""	"3"	"3"	"2"	"2"	"3"	"4"	"4"	"4"
"UNY177_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"ESI315_200"	"545"	""	""	"14"	"1"	"11"	"1"	"164"	"1"	"1"	"10"
"UWI280_200"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"K21.hybrid.assembly.contigs"	"19"	""	""	"4"	"4"	"3"	"3"	"3"	"3"	"3"	"3"
"UNY134_200"	"36"	""	""	"10"	"5"	"4"	"6"	"1"	"15"	"1"	"6"
"ESI303_200"	"545~"	"Novel ST"	""	"14"	"1"	"11"	"8"	"164"	"1"	"1"	"10"
"UWI242_200"	"55"	""	""	"23"	"1"	"17"	"20"	"2"	"1"	"1"	"10"
"UNY173_200"	"38~"	"Unknown"	""	"21"	"1"	"15"	"8"	"1"	"18"	"U"	"7"
"UWI229_200"	"43"	""	""	"4"	"4"	"3"	"3"	"3"	"21"	"6"	"3"
"UWI251_200"	"30"	""	""	"19"	"1"	"5"	"1"	"2"	"1"	"1"	"10"
"B348"	"19"	""	""	"4"	"4"	"3"	"3"	"3"	"3"	"3"	"3"
"MC149"	"221"	""	""	"3"	"3"	"2"	"2"	"3"	"4"	"4"	"4"
"UWI261_200"	"55"	""	""	"23"	"1"	"17"	"20"	"2"	"1"	"1"	"10"
"UNY136_200"	"19"	""	""	"4"	"4"	"3"	"3"	"3"	"3"	"3"	"3"
"UWI244_200"	"237"	""	""	"107"	"2"	"1"	"95"	"2"	"18"	"4"	"3"
"UNY159_200"	"18"	""	""	"7"	"6"	"6"	"1"	"1"	"5"	"5"	"5"
"UNY183_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"B356"	"12"	""	""	"3"	"3"	"2"	"4"	"3"	"4"	"4"	"4"
"K19.hybrid.assembly.contigs"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"B331"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"UNY143_200"	"12"	""	""	"3"	"3"	"2"	"4"	"3"	"4"	"4"	"4"
"ESI294_200"	"314"	""	""	"14"	"1"	"11"	"1"	"113"	"1"	"1"	"10"
"ESI297_200"	"545"	""	""	"14"	"1"	"11"	"1"	"164"	"1"	"1"	"10"
"UWI249_200"	"12~"	"Novel ST"	""	"137"	"3"	"2"	"4"	"3"	"4"	"4"	"4"
"ESI289_200"	"314"	""	""	"14"	"1"	"11"	"1"	"113"	"1"	"1"	"10"
"UWI241_200"	"48"	""	""	"8"	"1"	"1"	"14"	"2"	"6"	"1"	"10"
"B418"	"19"	""	""	"4"	"4"	"3"	"3"	"3"	"3"	"3"	"3"
"UNY204_200"	"12~"	"Unknown"	""	"3~"	"3"	"2"	"4"	"3"	"4"	"4"	"4"
"ESI287_200"	"314"	""	""	"14"	"1"	"11"	"1"	"113"	"1"	"1"	"10"
"ESI285_200"	"20"	""	""	"14"	"1"	"11"	"1"	"1"	"1"	"1"	"10"
"UWI271_200"	"30~"	"Unknown"	""	"19"	"1"	"U"	"1"	"2"	"1"	"1"	"10"
"URI54_200"	"14"	""	""	"9"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"URI44_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UCT69_200"	"59"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"19"
"K83.hybrid.assembly.contigs"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"ESI306_200"	"545"	""	""	"14"	"1"	"11"	"1"	"164"	"1"	"1"	"10"
"ESI305_200"	"20"	""	""	"14"	"1"	"11"	"1"	"1"	"1"	"1"	"10"
"UCT51_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"URI85_200"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"UNY175_200"	"14"	""	""	"9"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"UNY133_200"	"8~"	"Unknown"	""	"5"	"5"	"4"	"5"	"5~"	"5"	"1"	"6"
"UWI270_200"	"51"	""	""	"8"	"1"	"15"	"8"	"12"	"20"	"1"	"7"
"URI94_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UCT50_200"	"19"	""	""	"4"	"4"	"3"	"3"	"3"	"3"	"3"	"3"
"ESI290_200"	"314"	""	""	"14"	"1"	"11"	"1"	"113"	"1"	"1"	"10"
"UNY208_200"	"4"	""	""	"8"	"1"	"1"	"1"	"4"	"6"	"1"	"7"
"UNY162_200"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"UWI224_200"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"ESI317_200"	"20"	""	""	"14"	"1"	"11"	"1"	"1"	"1"	"1"	"10"
"UNY202_200"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"UMA3_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"K22.hybrid.assembly.contigs"	"38"	""	""	"21"	"1"	"15"	"8"	"1"	"18"	"4"	"7"
"URI33_200"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"UNY158_200"	"50"	""	""	"8"	"1"	"1"	"17"	"1"	"6"	"1"	"10"
"URI117_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"K24.hybrid.assembly.contigs"	"14"	""	""	"9"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"UNY211_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY209_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"UCT62_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY131_200"	"50"	""	""	"8"	"1"	"1"	"17"	"1"	"6"	"1"	"10"
"UNY130_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI97_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI81_200"	"9~"	"Unknown"	""	"10"	"5"	"4"	"6"	"1"	"6"	"1~"	"6"
"ESI307_200"	"545"	""	""	"14"	"1"	"11"	"1"	"164"	"1"	"1"	"10"
"UNY184_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI112_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UCT121_200"	"59"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"19"
"ESI301_200"	"314"	""	""	"14"	"1"	"11"	"1"	"113"	"1"	"1"	"10"
"URI98_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"K2.hybrid.assembly.contigs"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
