Repeated,Original_Name_1,,Skin/Blood Pairs,Original_Name_2
UMA1,N2,,UNY133(BL55),B48
UMA2,N4,,UNY134(BL72),B62
UMA3,N7,,UNY149(BL146),B247
UMA4,N9,,UNY149(BL149),B250
UMA5,N11,,UNY153(BL152),B253
UMA7,N15,,UNY176(BL220),B373
UMA8,N17,,UNY177(BL224),B379
UMA11,N21,,UNY178(BL229),B385
UMA14,N30,,UNY179(BL231),B388
UMA15,N31,,UNY181(BL241),B400
UMA16,N32,,UNY182(BL242),B401
URI17,R5,,UNY186(BL252),B418
URI18,R6,,UNY187(BL256),B427
URI19,R7,,UNY188(BL266),B435
URI20,R8,,UNY189(BL280),B449
URI21,R9,,UNY190(BL285),B454
URI22,R10,,UNY191(BL303),B471
URI23,R11,,UNY192(BL307),B475
URI24,R12,,UNY195(BL311),B479
,,,UNY202(BL504),MR604
,,,UNY204(BL522),MR620
,,,UNY205(BL527),MR625
,,,UNY207(BL538),MR635
,,,UNY208(BL546),MR641
,,,UNY209(BL562),MR656
,,,UNY215(BL630),MR715
,,,UNY216(BL631),MR716
,,,ES289a(ES289b),BSK-Hi 2206/13
,,,ES289b(ES289a),2253/11