Source,Lane,Barcode,ID,Code,Genus,Species,FastQC_1,BBDuk,FastQC_2,Spades,BBMerge,sp_identification
Klemen,,,B100614,NA,Borrelia,afzelii,y,y,,y,y,y
Klemen,,,B100813,NA,Borrelia,afzelii,y,y,,y,y,y
Klemen,,,B106609,NA,Borrelia,afzelii,y,y,,y,y,y
Klemen,,,B107713,NA,Borrelia,afzelii,y,y,,y,y,y
Klemen,,,B110713,NA,Borrelia,afzelii,y,y,,y,y,y
Klemen,,,B113709,NA,Borrelia,afzelii,y,y,,y,y,y
Klemen,,,B114010,NA,Borrelia,afzelii,y,y,,y,y,y
Klemen,,,B100609,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B114013,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B116612,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B116812,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B118609,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B120109,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B120213,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B136012,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B150313,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B152706,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B155206,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B157309,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B164313,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B165912,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B172913,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B177613,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B177713,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B183610,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B184411,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B185113,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B187511,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B188509,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B188711,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B191306,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B193913,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B194713,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B196412,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B198513,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B198711,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B200313,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B207213,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B208510,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B217806,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B223113,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B224113,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B226909,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B228613,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B232113,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B241909,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B246309,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B247009,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B251513,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B26312,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B264709,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B269309,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B275913,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B295313,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B299313,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B308113,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B43114,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B447115,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B44815,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B46713,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B59212,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B75613,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B77411,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B77911,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B80012,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B81813,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B99714,NA,Borrelia,afzelii,y,y,y,y,y,y
Klemen,,,B190413,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Klemen,,,B192411,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Klemen,,,B89613,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N11,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N13,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N15,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N17,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N19,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N2,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N20,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N21,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N23,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N25,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N30,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N31,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N32,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N4,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N7,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,N9,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,R10,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,R11,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,R12,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,R5,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,R6,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,R7,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,R8,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Jacob,,,R9,NA,Borrelia,burgdorferi,y,y,y,y,y,y
Klemen,,,B158911,NA,Borrelia,garinii,y,y,y,y,y,y
Klemen,,,B70912,NA,Borrelia,garinii,y,y,y,y,y,y
Klemen,,,B82211,NA,Borrelia,garinii,y,y,y,y,y,y
Klemen,,,B83609,NA,Borrelia,garinii,y,y,y,y,y,y
Klemen,,,B99411,NA,Borrelia,garinii,y,y,y,y,y,y