sample,method
pacbio,MR614
pacbio,MC123
pacbio,BL546
pacbio,B356
pacbio,B247
pacbio,MC149
pacbio,B418
pacbio,MR641
pacbio,MC104
pacbio,BL522
pacbio,B348
pacbio,BL206
pacbio,B331
pacbio,BL224
pacbio,B477
pacbio,B500
pacbio,B483
pacbio,MC105
pacbio,BL515
pacbio,MR616
illumina,UWI246_200
illumina,UNY134_200
illumina,UNY199_200
illumina,ESI313_200
illumina,URI48_200
illumina,UNY188_200
illumina,ESI289_200
illumina,URI44_200
illumina,URI49_200
illumina,UNY179_200
illumina,UWI247_200
illumina,UNY178_200
illumina,URI118_200
illumina,UNY184_200
illumina,URI117_200
illumina,UWI265_200
illumina,UNY215_200
illumina,UWI277_200
illumina,UNY133_200
illumina,UWI269_200
illumina,UWI264_200
illumina,UMA3_200
illumina,UNY155_200
illumina,UCT31_200
illumina,UNY146_200
illumina,URI53_200
illumina,UNY150_200
illumina,URI65_200
illumina,UCT74_200
illumina,UWI241_200
illumina,UWI234_200
illumina,UCT104_200
illumina,UMA5_200
illumina,UWI274_200
illumina,UNY205_200
illumina,UNY209_200
illumina,ESI297_200
illumina,ESI311_200
illumina,UCT66_200
illumina,URI67_200
illumina,UCT92_200
illumina,URI41_200
illumina,UWI231_200
illumina,UNY170_200
illumina,UNY161_200
illumina,URI39_200
illumina,ESI318_200
illumina,ESI300_200
illumina,UNY144_200
illumina,URI59_200
illumina,UCT30_200
illumina,ESI322_200
illumina,UNY206_200
illumina,UWI242_200
illumina,UWI228_200
illumina,URI23_200
illumina,UNY138_200
illumina,UWI223_200
illumina,UNY181_200
illumina,UWI252_200
illumina,UNY175_200
illumina,UNY174_200
illumina,UWI227_200
illumina,URI19_200
illumina,UNY140_200
illumina,UNY159_200
illumina,UWI243_200
illumina,UWI262_200
illumina,ESI307_200
illumina,UMA16_200
illumina,URI108_200
illumina,UCT109_200
illumina,URI97_200
illumina,URI47_200
illumina,UMA13_200
illumina,URI88_200
illumina,UNY172_200
illumina,URI105_200
illumina,UNY166_200
illumina,URI56_200
illumina,ESI303_200
illumina,UNY154_200
illumina,URI22_200
illumina,URI38_200
illumina,UNY147_200
illumina,ESI28_200
illumina,URI89_200
illumina,URI103_200
illumina,UCT115_200
illumina,UMA11_200
illumina,ESI290_200
illumina,UWI257_200
illumina,UWI268_200
illumina,UNY160_200
illumina,ESI306_200
illumina,UWI282_200
illumina,URI86_200
illumina,UWI222_200
illumina,URI43_200
illumina,ESI312_200
illumina,ESI315_200
illumina,UNY137_200
illumina,UNY162_200
illumina,UWI251_200
illumina,UWI230_200
illumina,UCT32_200
illumina,ESI308_200
illumina,UWI238_200
illumina,URI63_200
illumina,UNY197_200
illumina,ESI320_200
illumina,URI70_200
illumina,UWI244_200
illumina,URI81_200
illumina,UMA15_200
illumina,URI122_200
illumina,UWI240_200
illumina,ESI26_200
illumina,UWI229_200
illumina,UCT50_200
illumina,UMA14_200
illumina,UNY153_200
illumina,URI24_200
illumina,UWI248_200
illumina,UNY210_200
illumina,UWI250_200
illumina,URI102_200
illumina,UWI281_200
illumina,URI72_200
illumina,ESI299_200
illumina,UWI236_200
illumina,URI71_200
illumina,URI34_200
illumina,UWI258_200
illumina,URI85_200
illumina,URI91_200
illumina,UCT29_200
illumina,UNY211_200
illumina,UNY136_200
illumina,UNY202_200
illumina,UCT121_200
illumina,UNY193_200
illumina,UWI275_200
illumina,UWI263_200
illumina,ESI285_200
illumina,URI42_200
illumina,UNY167_200
illumina,UCT62_200
illumina,UNY151_200
illumina,UWI235_200
illumina,UMA12_200
illumina,UNY142_200
illumina,UWI280_200
illumina,UWI232_200
illumina,UNY135_200
illumina,UCT83_200
illumina,ESI301_200
illumina,UCT51_200
illumina,UNY190_200
illumina,ESI304_200
illumina,URI107_200
illumina,UCT110_200
illumina,URI61_200
illumina,UNY163_200
illumina,ESI323_200
illumina,UCT76_200
illumina,UWI233_200
illumina,URI79_200
illumina,UNY207_200
illumina,UWI253_200
illumina,UWI245_200
illumina,UNY196_200
illumina,URI101_200
illumina,UWI256_200
illumina,URI77_200
illumina,UWI276_200
illumina,UNY165_200
illumina,ESI286_200
illumina,UCT73_200
illumina,UWI239_200
illumina,UNY204_200
illumina,URI100_200
illumina,ESI288a_200
illumina,UMA1_200
illumina,URI40_200
illumina,ESI292_200
illumina,ESI295_200
illumina,UNY187_200
illumina,UNY218_200
illumina,UWI225_200
illumina,URI17_200
illumina,UNY131_200
illumina,URI52_200
illumina,UWI270_200
illumina,UWI278_200
illumina,UNY195_200
illumina,UNY212_200
illumina,UNY149_200
illumina,URI75_200
illumina,UNY177_200
illumina,UNY192_200
illumina,ESI305_200
illumina,UNY182_200
illumina,UNY168_200
illumina,UNY157_200
illumina,UNY156_200
illumina,UNY132_200
illumina,URI119_200
illumina,UMA8_200
illumina,UNY169_200
illumina,URI114_200
illumina,UNY130_200
illumina,ESI284_200
illumina,UWI237_200
illumina,UWI224_200
illumina,UNY189_200
illumina,UMA7_200
illumina,URI90_200
illumina,UMA10_200
illumina,UNY176_200
illumina,URI33_200
illumina,UMA4_200
illumina,UNY145_200
illumina,UNY129_200
illumina,ESI316_200
illumina,URI60_200
illumina,URI68_200
illumina,ESI294_200
illumina,URI36_200
illumina,UMA2_200
illumina,UWI267_200
illumina,UNY203_200
illumina,URI98_200
illumina,UNY148_200
illumina,URI55_200
illumina,UNY200_200
illumina,URI64_200
illumina,UWI271_200
illumina,UWI255_200
illumina,URI58_200
illumina,UNY143_200
illumina,URI112_200
illumina,ESI291_200
illumina,UNY164_200
illumina,UNY213_200
illumina,UNY141_200
illumina,URI219_200
illumina,URI116_200
illumina,UWI220_200
illumina,URI84_200
illumina,UMA9_200
illumina,UNY208_200
illumina,UWI283_200
illumina,UWI249_200
illumina,URI54_200
illumina,UNY191_200
illumina,URI20_200
illumina,UWI254_200
illumina,UWI261_200
illumina,UCT113_200
illumina,ESI314_200
illumina,UCT69_200
illumina,ESI309_200
illumina,UWI226_200
illumina,UNY183_200
illumina,UWI260_200
illumina,UWI221_200
illumina,UNY201_200
illumina,UNY139_200
illumina,URI99_200
illumina,UCT96_200
illumina,UNY171_200
illumina,URI93_200
illumina,UCT35_200
illumina,UNY216_200
illumina,UCT106_200
illumina,UNY152_200
illumina,UNY180_200
illumina,UMA127_200
illumina,URI87_200
illumina,UWI273_200
illumina,URI46_200
illumina,ESI317_200
illumina,ESI287_200
illumina,UNY217_200
illumina,UNY194_200
illumina,UWI279_200
illumina,URI120_200
illumina,URI111_200
illumina,URI57_200
illumina,UNY158_200
illumina,UNY185_200
illumina,UWI272_200
illumina,ESI319_200
illumina,UNY214_200
illumina,URI37_200
illumina,URI78_200
illumina,URI94_200
illumina,UNY173_200
nanopore,barcode22
nanopore,barcode19
nanopore,barcode02
nanopore,barcode04
nanopore,barcode05
nanopore,barcode21
nanopore,barcode08
nanopore,barcode20
nanopore,barcode06
nanopore,barcode18
nanopore,barcode01
nanopore,barcode03
nanopore,barcode07
hybrid,XD1
hybrid,K84
hybrid,K75
hybrid,K90
hybrid,K10
hybrid,EU57_B190413
hybrid,K72
hybrid,K66
hybrid,K25
hybrid,K21
hybrid,L113
hybrid,K74
hybrid,K2
hybrid,K62
hybrid,K73
hybrid,K58
hybrid,K22
hybrid,K13
hybrid,K86
hybrid,K56
hybrid,K15
hybrid,K24
hybrid,K64
hybrid,K6
hybrid,K18
hybrid,K1
hybrid,K83
hybrid,K19
hybrid,K80
hybrid,K7
hybrid,K12
hybrid,K30
hybrid,EU51_B192411
hybrid,K89
hybrid,K16
hybrid,K17
hybrid,K3
hybrid,EU14_B89613
hybrid,K70
hybrid,K60
hybrid,K57
hybrid,K71
hybrid,K11
hybrid,K59
hybrid,K69
hybrid,K82
hybrid,K76
